Project Rank,Holder Rank,Address,Reward (sFTMx),Reward ($)
Winner 1,510,0x0f45156f109e474295913d78036fa213b1745d5a,12.1172567,7.822900926
Winner 1,511,0xdcfc630f0510d13d6f200568fd449062f2aa4c72,12.1172567,7.822900926
Winner 1,512,0x62c6e060ea69b7c6d145b73bc834ede9a1b7eed8,12.1172567,7.822900926
Winner 1,513,0x201bc8dd0b961ff0b64d845f3103bf3d8e5cd7b9,12.1172567,7.822900926
Winner 1,514,0xd87ecc6c74f486b044824a222326a96f696fcfa2,12.1172567,7.822900926
Winner 1,515,0x285fed35cbea271a711681e84ffd83c68a596a75,12.1172567,7.822900926
Winner 1,516,0xb6c3e778fbfc698f5b3fc941fa4727525141e0ca,12.1172567,7.822900926
Winner 1,517,0xe124ac1d71ab774f31b884fefafd126a66e5b935,12.1172567,7.822900926
Winner 1,518,0x915bd8f33f932b3cf069d2ac7cc31015cf7f01ec,12.1172567,7.822900926
Winner 1,519,0x4e2cc19317d23680aafe52189491d12f890c3c02,12.1172567,7.822900926
Winner 1,520,0xf48d927b6431effd816f0af452ed258eeb95e522,12.10930179,7.817765236
Winner 1,521,0x30f89f5f4cf25f457b4d9cbfb64a64a97f00bed0,12.06909499,7.791807726
Winner 1,522,0x4e5b2447077fbbe3bd3d69bee701344e9ca7a8dc,11.95350693,7.717184074
Winner 1,523,0x16f53d797690fd9a3ee0679c27f4ed7cabdc7ba6,11.83205329,7.638773604
Winner 1,524,0xd93bab51cd83881ce1228650b9798ee8fc3e746c,11.5603297,7.463348854
Winner 1,525,0x0a3a56280e5150c926d089b638f05bcf424973e1,11.19620853,7.228272227
Winner 1,526,0x949ecf766cd5d98759bf765bffc22d37ba55c1de,11.0930911,7.161699614
Winner 1,527,0xb58b6e6c33871c4f199216a072fe7d227459f21b,11.05465724,7.136886714
Winner 1,528,0x048c5753e83027bf30ef103adee49cf9612cab84,10.99973004,7.101425714
Winner 1,529,0xb2ae7773e14d857d1202cfc2a6a5a2a3de1525f5,10.9609841,7.076411335
Winner 1,530,0xe3b4c628a7fb3931881efaf39c160fd4292f92f6,10.90586445,7.040826089
Winner 1,531,0x5bfaad4a04ab0fab6d206c9ea1144da886d31f9a,10.89354813,7.032874673
